gen,best_train_mse,mean_train_mse,val_mse,sigma,diversity
208,0.005896914614,0.1169425406,0.003717083418,0.1243144869,0.3228633942
209,0.005896914614,0.1365867358,0.003717083418,0.1242022836,0.323107636
210,0.005896914614,0.127116023,0.003717083418,0.1240901815,0.3295263423
211,0.005896914614,0.1123108661,0.003717083418,0.1239781805,0.3316630873
212,0.005896914614,0.114059514,0.003717083418,0.1238662807,0.3426298671
213,0.005896914614,0.1307376639,0.003717083418,0.1237544819,0.3438325764
214,0.005896914614,0.1251605706,0.003717083418,0.1236427839,0.3346395869
215,0.005896914614,0.1077492891,0.003717083418,0.1235311868,0.3335396985
216,0.005896914614,0.1025143978,0.003717083418,0.1234196904,0.336273222
217,0.005896914614,0.1019673756,0.003717083418,0.1233082947,0.3322028951
218,0.005896914614,0.09222734686,0.003717083418,0.1231969995,0.3172319367
219,0.005896914614,0.1078713796,0.003717083418,0.1230858047,0.3134159566
220,0.005896914614,0.1111461977,0.003717083418,0.1229747103,0.296808534
221,0.005896914614,0.09797936147,0.003717083418,0.1228637162,0.2762346509
222,0.005896914614,0.1106404746,0.003717083418,0.1227528223,0.2667656676
223,0.005896914614,0.09568603822,0.003717083418,0.1226420284,0.2553089748
224,0.005896914614,0.09549506279,0.003717083418,0.1225313346,0.2426570985
225,0.005896914614,0.08336264787,0.003717083418,0.1224207406,0.2338770996
226,0.005896914614,0.08619958725,0.003717083418,0.1223102465,0.2299219525
227,0.005896914614,0.07494756765,0.003717083418,0.1221998521,0.2242216494
228,0.005896914614,0.07675335593,0.003717083418,0.1220895573,0.2284604894
229,0.005896914614,0.07905744188,0.003717083418,0.1219793621,0.2313968257
230,0.005896914614,0.07020082943,0.003717083418,0.1218692664,0.2328596519
231,0.005896914614,0.07316342356,0.003717083418,0.12175927,0.2367787642
232,0.005896914614,0.06839660973,0.003717083418,0.1216493729,0.2378110182
233,0.005896914614,0.07391018728,0.003717083418,0.121539575,0.2452458274
234,0.005896914614,0.08315010866,0.003717083418,0.1214298762,0.2460108628
235,0.005896914614,0.0835766575,0.003717083418,0.1213202764,0.2433244822
236,0.005896914614,0.07453454133,0.003717083418,0.1212107755,0.2423106409
237,0.005896914614,0.08441844885,0.003717083418,0.1211013735,0.2395442241
238,0.005896914614,0.0814733511,0.003717083418,0.1209920702,0.2348043204
239,0.005896914614,0.07390516388,0.003717083418,0.1208828656,0.2435751593
240,0.005896914614,0.07549204683,0.003717083418,0.1207737595,0.2442918289
241,0.005896914614,0.0799846721,0.003717083418,0.1206647519,0.2434602709
242,0.005896914614,0.09269849057,0.003717083418,0.1205558427,0.2412247175
243,0.005896914614,0.07688677123,0.003717083418,0.1204470318,0.2372449263
244,0.005896914614,0.08304875893,0.003717083418,0.1203383191,0.2314955995
245,0.005896914614,0.09157330088,0.003717083418,0.1202297045,0.2256787564
246,0.005896914614,0.09106113314,0.003717083418,0.120121188,0.2264559102
247,0.005896914614,0.08601683738,0.003717083418,0.1200127694,0.2243976464
248,0.005896914614,0.09417741232,0.003717083418,0.1199044486,0.2227567588
249,0.005896914614,0.07618931362,0.003717083418,0.1197962256,0.2238619876
250,0.005896914614,0.09222865122,0.003717083418,0.1196881003,0.227104053
251,0.005896914614,0.08445787381,0.003717083418,0.1195800726,0.2337561444
252,0.005896914614,0.0807088017,0.003717083418,0.1194721424,0.2354315705
253,0.005896914614,0.08632334796,0.003717083418,0.1193643096,0.24530741
254,0.005896914614,0.09126938971,0.003717083418,0.1192565742,0.2557087626
255,0.005896914614,0.1053546899,0.003717083418,0.119148936,0.258114858
256,0.005896914614,0.09137169137,0.003717083418,0.1190413949,0.2517038037
257,0.005896914614,0.08441213787,0.003717083418,0.1189339509,0.2532805652
258,0.005896914614,0.0812212987,0.003717083418,0.1188266039,0.2479826485
259,0.005896914614,0.07793412441,0.003717083418,0.1187193537,0.2451131147
260,0.005896914614,0.08388719321,0.003717083418,0.1186122004,0.2387527412
261,0.005896914614,0.09142254166,0.003717083418,0.1185051438,0.2508729855
262,0.005896914614,0.09147815222,0.003717083418,0.1183981838,0.2549162983
263,0.005896914614,0.09323462339,0.003717083418,0.1182913203,0.2580231146
264,0.005896914614,0.09018011795,0.003717083418,0.1181845533,0.2636873509
265,0.005896914614,0.07869772986,0.003717083418,0.1180778827,0.2638930307
266,0.005896914614,0.0929008824,0.003717083418,0.1179713083,0.26364211
267,0.005896914614,0.08802195015,0.003717083418,0.1178648301,0.2547947935
268,0.005896914614,0.1019863488,0.003717083418,0.1177584481,0.2471542833
269,0.005896914614,0.08259239027,0.003717083418,0.117652162,0.2410214598
270,0.005896914614,0.08657754804,0.003717083418,0.1175459719,0.2343394248
271,0.005896914614,0.08342236508,0.003717083418,0.1174398776,0.234069703
272,0.005896914614,0.08652356148,0.003717083418,0.1173338791,0.2305118429
273,0.005896914614,0.08272136146,0.003717083418,0.1172279763,0.2332053643
274,0.005896914614,0.07623558856,0.003717083418,0.117122169,0.2327701348
275,0.005896914614,0.07805513512,0.003717083418,0.1170164573,0.2388884805
